icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
XI,Пищеварение,K25,55_59,муж,20,55-59,12
XI,Пищеварение,K25,60_64,жен,11,60-64,13
XI,Пищеварение,K25,60_64,муж,37,60-64,13
XI,Пищеварение,K25,65_69,жен,19,65-69,14
XI,Пищеварение,K25,65_69,муж,35,65-69,14
XI,Пищеварение,K25,70_74,жен,21,70-74,15
XI,Пищеварение,K25,70_74,муж,25,70-74,15
XI,Пищеварение,K25,75_79,жен,18,75-79,16
XI,Пищеварение,K25,75_79,муж,14,75-79,16
XI,Пищеварение,K25,80_plus,жен,50,80+,17
XI,Пищеварение,K25,80_plus,муж,16,80+,17
XI,Пищеварение,K26,30_34,муж,1,30-34,7
XI,Пищеварение,K26,35_39,муж,4,35-39,8
XI,Пищеварение,K26,40_44,жен,4,40-44,9
XI,Пищеварение,K26,40_44,муж,4,40-44,9
XI,Пищеварение,K26,45_49,жен,1,45-49,10
XI,Пищеварение,K26,45_49,муж,7,45-49,10
XI,Пищеварение,K26,50_54,жен,3,50-54,11
XI,Пищеварение,K26,50_54,муж,6,50-54,11
XI,Пищеварение,K26,55_59,жен,5,55-59,12
XI,Пищеварение,K26,55_59,муж,12,55-59,12
XI,Пищеварение,K26,60_64,жен,9,60-64,13
XI,Пищеварение,K26,60_64,муж,13,60-64,13
XI,Пищеварение,K26,65_69,жен,5,65-69,14
XI,Пищеварение,K26,65_69,муж,15,65-69,14
XI,Пищеварение,K26,70_74,жен,14,70-74,15
XI,Пищеварение,K26,70_74,муж,10,70-74,15
XI,Пищеварение,K26,75_79,жен,8,75-79,16
XI,Пищеварение,K26,75_79,муж,6,75-79,16
XI,Пищеварение,K26,80_plus,жен,31,80+,17
XI,Пищеварение,K26,80_plus,муж,14,80+,17
XI,Пищеварение,K28,50_54,муж,1,50-54,11
XI,Пищеварение,K28,55_59,муж,1,55-59,12
XI,Пищеварение,K28,80_plus,жен,1,80+,17
XI,Пищеварение,K29,40_44,муж,1,40-44,9
XI,Пищеварение,K29,50_54,муж,3,50-54,11
XI,Пищеварение,K29,55_59,жен,3,55-59,12
XI,Пищеварение,K29,55_59,муж,1,55-59,12
XI,Пищеварение,K29,60_64,жен,1,60-64,13
XI,Пищеварение,K29,60_64,муж,2,60-64,13
XI,Пищеварение,K29,65_69,муж,6,65-69,14
XI,Пищеварение,K29,70_74,жен,1,70-74,15
XI,Пищеварение,K29,70_74,муж,8,70-74,15
XI,Пищеварение,K29,75_79,жен,2,75-79,16
XI,Пищеварение,K29,80_plus,жен,5,80+,17
XI,Пищеварение,K31,30_34,муж,1,30-34,7
XI,Пищеварение,K31,45_49,муж,1,45-49,10
XI,Пищеварение,K31,60_64,муж,1,60-64,13
