icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
II,Новообразования,C92,55_59,жен,3,55-59,12
II,Новообразования,C92,55_59,муж,5,55-59,12
II,Новообразования,C92,60_64,жен,3,60-64,13
II,Новообразования,C92,60_64,муж,9,60-64,13
II,Новообразования,C92,65_69,жен,7,65-69,14
II,Новообразования,C92,65_69,муж,12,65-69,14
II,Новообразования,C92,70_74,жен,6,70-74,15
II,Новообразования,C92,70_74,муж,10,70-74,15
II,Новообразования,C92,75_79,жен,2,75-79,16
II,Новообразования,C92,75_79,муж,3,75-79,16
II,Новообразования,C92,80_plus,жен,9,80+,17
II,Новообразования,C92,80_plus,муж,6,80+,17
II,Новообразования,C93,35_39,жен,1,35-39,8
II,Новообразования,C93,45_49,жен,1,45-49,10
II,Новообразования,C93,45_49,муж,1,45-49,10
II,Новообразования,C93,55_59,жен,1,55-59,12
II,Новообразования,C93,55_59,муж,1,55-59,12
II,Новообразования,C93,60_64,жен,4,60-64,13
II,Новообразования,C93,60_64,муж,1,60-64,13
II,Новообразования,C93,65_69,жен,1,65-69,14
II,Новообразования,C93,65_69,муж,1,65-69,14
II,Новообразования,C93,70_74,жен,1,70-74,15
II,Новообразования,C93,70_74,муж,1,70-74,15
II,Новообразования,C93,80_plus,жен,1,80+,17
II,Новообразования,C93,80_plus,муж,1,80+,17
II,Новообразования,C94,40_44,жен,1,40-44,9
II,Новообразования,C94,55_59,жен,1,55-59,12
II,Новообразования,C94,55_59,муж,1,55-59,12
II,Новообразования,C94,60_64,муж,1,60-64,13
II,Новообразования,C94,65_69,жен,2,65-69,14
II,Новообразования,C94,65_69,муж,2,65-69,14
II,Новообразования,C94,70_74,жен,1,70-74,15
II,Новообразования,C94,70_74,муж,1,70-74,15
II,Новообразования,C94,75_79,жен,1,75-79,16
II,Новообразования,C95,50_54,жен,1,50-54,11
II,Новообразования,C95,55_59,жен,1,55-59,12
II,Новообразования,C95,65_69,жен,3,65-69,14
II,Новообразования,C95,70_74,муж,1,70-74,15
II,Новообразования,C95,75_79,жен,2,75-79,16
II,Новообразования,C95,80_plus,жен,3,80+,17
II,Новообразования,C96,20_24,муж,1,20-24,5
II,Новообразования,C96,80_plus,жен,1,80+,17
II,Новообразования,C97,25_29,жен,1,25-29,6
II,Новообразования,C97,25_29,муж,1,25-29,6
II,Новообразования,C97,45_49,жен,2,45-49,10
II,Новообразования,C97,45_49,муж,1,45-49,10
II,Новообразования,C97,50_54,жен,2,50-54,11
II,Новообразования,C97,55_59,жен,4,55-59,12
II,Новообразования,C97,55_59,муж,4,55-59,12
II,Новообразования,C97,60_64,жен,5,60-64,13
II,Новообразования,C97,60_64,муж,6,60-64,13
II,Новообразования,C97,65_69,жен,8,65-69,14
II,Новообразования,C97,65_69,муж,13,65-69,14
II,Новообразования,C97,70_74,жен,9,70-74,15
II,Новообразования,C97,70_74,муж,15,70-74,15
II,Новообразования,C97,75_79,жен,12,75-79,16
II,Новообразования,C97,75_79,муж,11,75-79,16
II,Новообразования,C97,80_plus,жен,8,80+,17
II,Новообразования,C97,80_plus,муж,8,80+,17
II,Новообразования,D10,70_74,жен,1,70-74,15
II,Новообразования,D12,70_74,муж,1,70-74,15
II,Новообразования,D12,80_plus,муж,1,80+,17
II,Новообразования,D13,65_69,муж,1,65-69,14
II,Новообразования,D13,80_plus,жен,2,80+,17
II,Новообразования,D13,80_plus,муж,1,80+,17
II,Новообразования,D15,50_54,жен,1,50-54,11
II,Новообразования,D15,65_69,жен,1,65-69,14
II,Новообразования,D16,65_69,жен,1,65-69,14
II,Новообразования,D17,70_74,муж,1,70-74,15
II,Новообразования,D18,55_59,жен,1,55-59,12
II,Новообразования,D18,55_59,муж,1,55-59,12
II,Новообразования,D18,65_69,муж,1,65-69,14
II,Новообразования,D25,50_54,жен,3,50-54,11
II,Новообразования,D25,60_64,жен,1,60-64,13
II,Новообразования,D25,65_69,жен,2,65-69,14
II,Новообразования,D25,70_74,жен,1,70-74,15
II,Новообразования,D27,45_49,жен,1,45-49,10
II,Новообразования,D27,60_64,жен,1,60-64,13
II,Новообразования,D27,70_74,жен,1,70-74,15
II,Новообразования,D29,75_79,муж,1,75-79,16
II,Новообразования,D30,80_plus,жен,1,80+,17
II,Новообразования,D30,80_plus,муж,1,80+,17
II,Новообразования,D32,50_54,жен,1,50-54,11
II,Новообразования,D32,55_59,жен,2,55-59,12
II,Новообразования,D32,60_64,жен,4,60-64,13
II,Новообразования,D32,60_64,муж,3,60-64,13
II,Новообразования,D32,65_69,жен,2,65-69,14
II,Новообразования,D32,70_74,жен,11,70-74,15
II,Новообразования,D32,70_74,муж,1,70-74,15
II,Новообразования,D32,75_79,жен,4,75-79,16
II,Новообразования,D32,80_plus,жен,7,80+,17
II,Новообразования,D32,80_plus,муж,1,80+,17
II,Новообразования,D33,40_44,муж,1,40-44,9
II,Новообразования,D33,45_49,жен,1,45-49,10
II,Новообразования,D33,60_64,жен,4,60-64,13
II,Новообразования,D33,65_69,жен,2,65-69,14
II,Новообразования,D33,65_69,муж,3,65-69,14
II,Новообразования,D33,70_74,жен,2,70-74,15
II,Новообразования,D33,80_plus,жен,1,80+,17
II,Новообразования,D35,35_39,жен,1,35-39,8
II,Новообразования,D35,40_44,жен,1,40-44,9
II,Новообразования,D35,40_44,муж,1,40-44,9
II,Новообразования,D35,60_64,муж,1,60-64,13
II,Новообразования,D35,65_69,жен,1,65-69,14
II,Новообразования,D35,65_69,муж,1,65-69,14
II,Новообразования,D35,75_79,жен,1,75-79,16
II,Новообразования,D35,75_79,муж,1,75-79,16
II,Новообразования,D35,80_plus,жен,1,80+,17
II,Новообразования,D36,65_69,жен,1,65-69,14
II,Новообразования,D37,50_54,муж,1,50-54,11
II,Новообразования,D37,60_64,жен,1,60-64,13
II,Новообразования,D37,60_64,муж,1,60-64,13
II,Новообразования,D37,70_74,жен,2,70-74,15
II,Новообразования,D37,75_79,жен,1,75-79,16
II,Новообразования,D37,80_plus,жен,1,80+,17
II,Новообразования,D37,80_plus,муж,1,80+,17
II,Новообразования,D38,60_64,муж,1,60-64,13
II,Новообразования,D38,65_69,муж,1,65-69,14
II,Новообразования,D38,75_79,муж,1,75-79,16
II,Новообразования,D39,55_59,жен,3,55-59,12
II,Новообразования,D39,75_79,жен,1,75-79,16
II,Новообразования,D39,80_plus,жен,1,80+,17
II,Новообразования,D40,80_plus,муж,1,80+,17
II,Новообразования,D41,75_79,жен,1,75-79,16
II,Новообразования,D41,75_79,муж,1,75-79,16
II,Новообразования,D41,80_plus,жен,1,80+,17
II,Новообразования,D42,60_64,жен,1,60-64,13
II,Новообразования,D42,70_74,жен,1,70-74,15
II,Новообразования,D42,70_74,муж,1,70-74,15
II,Новообразования,D42,75_79,жен,1,75-79,16
II,Новообразования,D42,75_79,муж,1,75-79,16
II,Новообразования,D42,80_plus,жен,1,80+,17
II,Новообразования,D42,80_plus,муж,1,80+,17
II,Новообразования,D43,35_39,муж,1,35-39,8
II,Новообразования,D43,40_44,муж,1,40-44,9
II,Новообразования,D43,45_49,жен,2,45-49,10
II,Новообразования,D43,45_49,муж,1,45-49,10
II,Новообразования,D43,50_54,жен,2,50-54,11
II,Новообразования,D43,50_54,муж,2,50-54,11
II,Новообразования,D43,55_59,жен,1,55-59,12
II,Новообразования,D43,60_64,жен,4,60-64,13
II,Новообразования,D43,60_64,муж,1,60-64,13
II,Новообразования,D43,65_69,жен,4,65-69,14
II,Новообразования,D43,65_69,муж,4,65-69,14
II,Новообразования,D43,70_74,жен,1,70-74,15
II,Новообразования,D43,70_74,муж,6,70-74,15
II,Новообразования,D43,75_79,жен,3,75-79,16
II,Новообразования,D43,75_79,муж,1,75-79,16
II,Новообразования,D43,80_plus,жен,2,80+,17
II,Новообразования,D43,80_plus,муж,1,80+,17
II,Новообразования,D44,20_24,жен,1,20-24,5
II,Новообразования,D44,55_59,жен,1,55-59,12
II,Новообразования,D44,65_69,муж,1,65-69,14
II,Новообразования,D45,60_64,муж,1,60-64,13
II,Новообразования,D45,65_69,муж,3,65-69,14
II,Новообразования,D45,70_74,муж,1,70-74,15
II,Новообразования,D45,75_79,жен,2,75-79,16
II,Новообразования,D45,75_79,муж,1,75-79,16
II,Новообразования,D45,80_plus,жен,1,80+,17
II,Новообразования,D45,80_plus,муж,2,80+,17
II,Новообразования,D46,30_34,муж,1,30-34,7
II,Новообразования,D46,50_54,жен,1,50-54,11
II,Новообразования,D46,50_54,муж,1,50-54,11
II,Новообразования,D46,55_59,жен,1,55-59,12
II,Новообразования,D46,55_59,муж,3,55-59,12
II,Новообразования,D46,60_64,жен,1,60-64,13
II,Новообразования,D46,60_64,муж,1,60-64,13
II,Новообразования,D46,65_69,жен,1,65-69,14
II,Новообразования,D46,65_69,муж,5,65-69,14
II,Новообразования,D46,70_74,жен,2,70-74,15
II,Новообразования,D46,70_74,муж,5,70-74,15
II,Новообразования,D46,75_79,жен,3,75-79,16
II,Новообразования,D46,75_79,муж,1,75-79,16
II,Новообразования,D46,80_plus,жен,2,80+,17
II,Новообразования,D46,80_plus,муж,2,80+,17
II,Новообразования,D47,45_49,муж,1,45-49,10
II,Новообразования,D47,55_59,муж,2,55-59,12
II,Новообразования,D47,60_64,муж,1,60-64,13
II,Новообразования,D47,65_69,жен,3,65-69,14
II,Новообразования,D47,65_69,муж,1,65-69,14
II,Новообразования,D47,70_74,жен,1,70-74,15
II,Новообразования,D47,70_74,муж,1,70-74,15
II,Новообразования,D47,80_plus,жен,1,80+,17
II,Новообразования,D47,80_plus,муж,1,80+,17
II,Новообразования,D48,60_64,жен,1,60-64,13
II,Новообразования,D48,75_79,жен,1,75-79,16
II,Новообразования,D48,80_plus,жен,2,80+,17
IV,Эндокринные и обмен,E04,75_79,жен,1,75-79,16
IV,Эндокринные и обмен,E05,40_44,жен,1,40-44,9
IV,Эндокринные и обмен,E05,50_54,жен,2,50-54,11
IV,Эндокринные и обмен,E05,55_59,жен,1,55-59,12
IV,Эндокринные и обмен,E05,60_64,жен,1,60-64,13
IV,Эндокринные и обмен,E05,60_64,муж,1,60-64,13
IV,Эндокринные и обмен,E05,65_69,жен,1,65-69,14
IV,Эндокринные и обмен,E05,70_74,жен,1,70-74,15
IV,Эндокринные и обмен,E05,70_74,муж,1,70-74,15
IV,Эндокринные и обмен,E05,75_79,жен,1,75-79,16
IV,Эндокринные и обмен,E06,65_69,жен,2,65-69,14
IV,Эндокринные и обмен,E10,20_24,жен,3,20-24,5
IV,Эндокринные и обмен,E10,20_24,муж,1,20-24,5
IV,Эндокринные и обмен,E10,25_29,муж,3,25-29,6
IV,Эндокринные и обмен,E10,30_34,муж,5,30-34,7
IV,Эндокринные и обмен,E10,35_39,жен,4,35-39,8
IV,Эндокринные и обмен,E10,35_39,муж,13,35-39,8
IV,Эндокринные и обмен,E10,40_44,жен,2,40-44,9
IV,Эндокринные и обмен,E10,40_44,муж,8,40-44,9
IV,Эндокринные и обмен,E10,45_49,жен,1,45-49,10
IV,Эндокринные и обмен,E10,45_49,муж,14,45-49,10
IV,Эндокринные и обмен,E10,50_54,жен,1,50-54,11
IV,Эндокринные и обмен,E10,50_54,муж,3,50-54,11
IV,Эндокринные и обмен,E10,55_59,жен,5,55-59,12
IV,Эндокринные и обмен,E10,55_59,муж,5,55-59,12
IV,Эндокринные и обмен,E10,60_64,жен,4,60-64,13
IV,Эндокринные и обмен,E10,60_64,муж,4,60-64,13
IV,Эндокринные и обмен,E10,65_69,жен,7,65-69,14
IV,Эндокринные и обмен,E10,65_69,муж,7,65-69,14
IV,Эндокринные и обмен,E10,70_74,жен,7,70-74,15
IV,Эндокринные и обмен,E10,70_74,муж,5,70-74,15
IV,Эндокринные и обмен,E10,75_79,жен,11,75-79,16
IV,Эндокринные и обмен,E10,75_79,муж,2,75-79,16
IV,Эндокринные и обмен,E10,80_plus,жен,7,80+,17
IV,Эндокринные и обмен,E10,80_plus,муж,1,80+,17
IV,Эндокринные и обмен,E11,25_29,муж,1,25-29,6
IV,Эндокринные и обмен,E11,35_39,муж,2,35-39,8
IV,Эндокринные и обмен,E11,40_44,жен,6,40-44,9
IV,Эндокринные и обмен,E11,40_44,муж,3,40-44,9
IV,Эндокринные и обмен,E11,45_49,жен,12,45-49,10
IV,Эндокринные и обмен,E11,45_49,муж,16,45-49,10
IV,Эндокринные и обмен,E11,50_54,жен,24,50-54,11
IV,Эндокринные и обмен,E11,50_54,муж,41,50-54,11
IV,Эндокринные и обмен,E11,55_59,жен,71,55-59,12
IV,Эндокринные и обмен,E11,55_59,муж,64,55-59,12
IV,Эндокринные и обмен,E11,60_64,жен,162,60-64,13
IV,Эндокринные и обмен,E11,60_64,муж,147,60-64,13
IV,Эндокринные и обмен,E11,65_69,жен,358,65-69,14
IV,Эндокринные и обмен,E11,65_69,муж,226,65-69,14
IV,Эндокринные и обмен,E11,70_74,жен,416,70-74,15
IV,Эндокринные и обмен,E11,70_74,муж,226,70-74,15
IV,Эндокринные и обмен,E11,75_79,жен,329,75-79,16
IV,Эндокринные и обмен,E11,75_79,муж,106,75-79,16
IV,Эндокринные и обмен,E11,80_plus,жен,671,80+,17
IV,Эндокринные и обмен,E11,80_plus,муж,115,80+,17
IV,Эндокринные и обмен,E13,40_44,муж,1,40-44,9
IV,Эндокринные и обмен,E13,60_64,муж,1,60-64,13
IV,Эндокринные и обмен,E13,75_79,муж,1,75-79,16
IV,Эндокринные и обмен,E13,80_plus,жен,1,80+,17
IV,Эндокринные и обмен,E14,45_49,жен,1,45-49,10
IV,Эндокринные и обмен,E23,65_69,муж,1,65-69,14
IV,Эндокринные и обмен,E26,80_plus,жен,1,80+,17
IV,Эндокринные и обмен,E43,65_69,жен,1,65-69,14
IV,Эндокринные и обмен,E43,65_69,муж,1,65-69,14
IV,Эндокринные и обмен,E43,70_74,жен,1,70-74,15
IV,Эндокринные и обмен,E43,75_79,жен,2,75-79,16
IV,Эндокринные и обмен,E44,70_74,жен,1,70-74,15
IV,Эндокринные и обмен,E51,55_59,жен,1,55-59,12
IV,Эндокринные и обмен,E51,65_69,жен,1,65-69,14
IV,Эндокринные и обмен,E51,65_69,муж,1,65-69,14
IV,Эндокринные и обмен,E51,70_74,жен,1,70-74,15
IV,Эндокринные и обмен,E51,70_74,муж,1,70-74,15
IV,Эндокринные и обмен,E66,25_29,жен,1,25-29,6
IV,Эндокринные и обмен,E66,30_34,муж,1,30-34,7
IV,Эндокринные и обмен,E66,50_54,муж,1,50-54,11
IV,Эндокринные и обмен,E66,55_59,муж,1,55-59,12
IV,Эндокринные и обмен,E66,60_64,жен,2,60-64,13
IV,Эндокринные и обмен,E66,60_64,муж,3,60-64,13
IV,Эндокринные и обмен,E66,65_69,жен,5,65-69,14
IV,Эндокринные и обмен,E66,70_74,жен,3,70-74,15
IV,Эндокринные и обмен,E68,50_54,жен,1,50-54,11
IV,Эндокринные и обмен,E68,65_69,жен,1,65-69,14
IV,Эндокринные и обмен,E71,1_4,жен,1,1-4,1
IV,Эндокринные и обмен,E72,10_14,муж,1,10-14,3
IV,Эндокринные и обмен,E74,60_64,жен,1,60-64,13
IV,Эндокринные и обмен,E75,1_4,жен,1,1-4,1
IV,Эндокринные и обмен,E75,30_34,жен,1,30-34,7
IV,Эндокринные и обмен,E76,1_4,жен,1,1-4,1
IV,Эндокринные и обмен,E78,30_34,жен,1,30-34,7
IV,Эндокринные и обмен,E83,70_74,жен,1,70-74,15
IV,Эндокринные и обмен,E84,15_19,муж,1,15-19,4
IV,Эндокринные и обмен,E84,20_24,жен,1,20-24,5
IV,Эндокринные и обмен,E84,5_9,жен,1,5-9,2
IV,Эндокринные и обмен,E84,5_9,муж,1,5-9,2
IV,Эндокринные и обмен,E85,40_44,муж,2,40-44,9
IX,Кровообращение,I05,40_44,муж,1,40-44,9
IX,Кровообращение,I05,60_64,жен,2,60-64,13
IX,Кровообращение,I05,60_64,муж,1,60-64,13
IX,Кровообращение,I05,65_69,жен,4,65-69,14
IX,Кровообращение,I05,65_69,муж,2,65-69,14
IX,Кровообращение,I05,70_74,жен,4,70-74,15
IX,Кровообращение,I05,75_79,жен,1,75-79,16
IX,Кровообращение,I05,80_plus,жен,4,80+,17
IX,Кровообращение,I06,50_54,муж,1,50-54,11
IX,Кровообращение,I06,60_64,муж,2,60-64,13
IX,Кровообращение,I06,65_69,муж,1,65-69,14
IX,Кровообращение,I06,70_74,жен,3,70-74,15
IX,Кровообращение,I06,75_79,жен,2,75-79,16
IX,Кровообращение,I06,75_79,муж,1,75-79,16
IX,Кровообращение,I06,80_plus,жен,1,80+,17
IX,Кровообращение,I08,30_34,жен,1,30-34,7
IX,Кровообращение,I08,40_44,жен,1,40-44,9
IX,Кровообращение,I08,45_49,жен,1,45-49,10
IX,Кровообращение,I08,45_49,муж,1,45-49,10
IX,Кровообращение,I08,50_54,жен,2,50-54,11
IX,Кровообращение,I08,55_59,муж,1,55-59,12
IX,Кровообращение,I08,60_64,жен,2,60-64,13
IX,Кровообращение,I08,60_64,муж,1,60-64,13
IX,Кровообращение,I08,65_69,жен,5,65-69,14
IX,Кровообращение,I08,65_69,муж,1,65-69,14
IX,Кровообращение,I08,70_74,жен,2,70-74,15
IX,Кровообращение,I08,70_74,муж,1,70-74,15
IX,Кровообращение,I08,75_79,жен,7,75-79,16
IX,Кровообращение,I08,75_79,муж,1,75-79,16
IX,Кровообращение,I08,80_plus,жен,8,80+,17
IX,Кровообращение,I08,80_plus,муж,1,80+,17
IX,Кровообращение,I09,65_69,жен,1,65-69,14
IX,Кровообращение,I10,60_64,жен,1,60-64,13
IX,Кровообращение,I11,25_29,жен,1,25-29,6
IX,Кровообращение,I11,35_39,муж,3,35-39,8
IX,Кровообращение,I11,40_44,жен,1,40-44,9
IX,Кровообращение,I11,45_49,муж,4,45-49,10
IX,Кровообращение,I11,50_54,жен,1,50-54,11
IX,Кровообращение,I11,50_54,муж,3,50-54,11
IX,Кровообращение,I11,55_59,жен,3,55-59,12
IX,Кровообращение,I11,55_59,муж,11,55-59,12
IX,Кровообращение,I11,60_64,жен,5,60-64,13
IX,Кровообращение,I11,60_64,муж,12,60-64,13
IX,Кровообращение,I11,65_69,жен,9,65-69,14
IX,Кровообращение,I11,65_69,муж,12,65-69,14
IX,Кровообращение,I11,70_74,жен,3,70-74,15
IX,Кровообращение,I11,70_74,муж,3,70-74,15
IX,Кровообращение,I11,75_79,жен,3,75-79,16
IX,Кровообращение,I11,75_79,муж,5,75-79,16
IX,Кровообращение,I11,80_plus,жен,9,80+,17
IX,Кровообращение,I11,80_plus,муж,3,80+,17
IX,Кровообращение,I12,55_59,муж,1,55-59,12
IX,Кровообращение,I12,65_69,жен,1,65-69,14
IX,Кровообращение,I12,70_74,жен,1,70-74,15
IX,Кровообращение,I12,70_74,муж,2,70-74,15
IX,Кровообращение,I12,80_plus,жен,5,80+,17
IX,Кровообращение,I12,80_plus,муж,1,80+,17
IX,Кровообращение,I13,30_34,муж,1,30-34,7
IX,Кровообращение,I13,40_44,жен,1,40-44,9
IX,Кровообращение,I13,50_54,жен,1,50-54,11
IX,Кровообращение,I13,55_59,жен,2,55-59,12
IX,Кровообращение,I13,55_59,муж,2,55-59,12
IX,Кровообращение,I13,60_64,жен,3,60-64,13
IX,Кровообращение,I13,60_64,муж,1,60-64,13
IX,Кровообращение,I13,65_69,жен,2,65-69,14
IX,Кровообращение,I13,65_69,муж,1,65-69,14
IX,Кровообращение,I13,70_74,жен,2,70-74,15
IX,Кровообращение,I13,70_74,муж,1,70-74,15
IX,Кровообращение,I13,75_79,жен,1,75-79,16
IX,Кровообращение,I13,75_79,муж,2,75-79,16
IX,Кровообращение,I13,80_plus,жен,5,80+,17
IX,Кровообращение,I13,80_plus,муж,1,80+,17
IX,Кровообращение,I20,60_64,муж,1,60-64,13
IX,Кровообращение,I21,20_24,муж,2,20-24,5
IX,Кровообращение,I21,25_29,муж,1,25-29,6
IX,Кровообращение,I21,30_34,жен,1,30-34,7
IX,Кровообращение,I21,30_34,муж,13,30-34,7
IX,Кровообращение,I21,35_39,жен,5,35-39,8
IX,Кровообращение,I21,35_39,муж,24,35-39,8
IX,Кровообращение,I21,40_44,жен,7,40-44,9
IX,Кровообращение,I21,40_44,муж,47,40-44,9
IX,Кровообращение,I21,45_49,жен,16,45-49,10
IX,Кровообращение,I21,45_49,муж,101,45-49,10
IX,Кровообращение,I21,50_54,жен,27,50-54,11
IX,Кровообращение,I21,50_54,муж,127,50-54,11
IX,Кровообращение,I21,55_59,жен,39,55-59,12
IX,Кровообращение,I21,55_59,муж,196,55-59,12
IX,Кровообращение,I21,60_64,жен,69,60-64,13
IX,Кровообращение,I21,60_64,муж,228,60-64,13
IX,Кровообращение,I21,65_69,жен,96,65-69,14
IX,Кровообращение,I21,65_69,муж,245,65-69,14
IX,Кровообращение,I21,70_74,жен,76,70-74,15
IX,Кровообращение,I21,70_74,муж,135,70-74,15
IX,Кровообращение,I21,75_79,жен,116,75-79,16
IX,Кровообращение,I21,75_79,муж,85,75-79,16
IX,Кровообращение,I21,80_plus,жен,214,80+,17
IX,Кровообращение,I21,80_plus,муж,85,80+,17
IX,Кровообращение,I22,35_39,муж,4,35-39,8
IX,Кровообращение,I22,40_44,муж,5,40-44,9
IX,Кровообращение,I22,45_49,жен,1,45-49,10
IX,Кровообращение,I22,45_49,муж,11,45-49,10
IX,Кровообращение,I22,50_54,жен,1,50-54,11
IX,Кровообращение,I22,50_54,муж,20,50-54,11
IX,Кровообращение,I22,55_59,жен,6,55-59,12
IX,Кровообращение,I22,55_59,муж,32,55-59,12
IX,Кровообращение,I22,60_64,жен,15,60-64,13
IX,Кровообращение,I22,60_64,муж,46,60-64,13
IX,Кровообращение,I22,65_69,жен,18,65-69,14
IX,Кровообращение,I22,65_69,муж,47,65-69,14
IX,Кровообращение,I22,70_74,жен,16,70-74,15
IX,Кровообращение,I22,70_74,муж,33,70-74,15
IX,Кровообращение,I22,75_79,жен,14,75-79,16
IX,Кровообращение,I22,75_79,муж,16,75-79,16
IX,Кровообращение,I22,80_plus,жен,43,80+,17
IX,Кровообращение,I22,80_plus,муж,22,80+,17
IX,Кровообращение,I24,20_24,жен,1,20-24,5
IX,Кровообращение,I24,20_24,муж,5,20-24,5
IX,Кровообращение,I24,25_29,муж,8,25-29,6
IX,Кровообращение,I24,30_34,жен,4,30-34,7
IX,Кровообращение,I24,30_34,муж,11,30-34,7
IX,Кровообращение,I24,35_39,муж,18,35-39,8
IX,Кровообращение,I24,40_44,жен,6,40-44,9
IX,Кровообращение,I24,40_44,муж,21,40-44,9
IX,Кровообращение,I24,45_49,жен,5,45-49,10
IX,Кровообращение,I24,45_49,муж,26,45-49,10
IX,Кровообращение,I24,50_54,жен,3,50-54,11
IX,Кровообращение,I24,50_54,муж,31,50-54,11
IX,Кровообращение,I24,55_59,жен,10,55-59,12
IX,Кровообращение,I24,55_59,муж,41,55-59,12
IX,Кровообращение,I24,60_64,жен,14,60-64,13
IX,Кровообращение,I24,60_64,муж,58,60-64,13
IX,Кровообращение,I24,65_69,жен,13,65-69,14
IX,Кровообращение,I24,65_69,муж,28,65-69,14
IX,Кровообращение,I24,70_74,жен,11,70-74,15
IX,Кровообращение,I24,70_74,муж,16,70-74,15
IX,Кровообращение,I24,75_79,жен,13,75-79,16
IX,Кровообращение,I24,75_79,муж,13,75-79,16
IX,Кровообращение,I24,80_plus,жен,26,80+,17
IX,Кровообращение,I24,80_plus,муж,4,80+,17
IX,Кровообращение,I25,15_19,жен,1,15-19,4
IX,Кровообращение,I25,20_24,муж,1,20-24,5
IX,Кровообращение,I25,25_29,муж,1,25-29,6
IX,Кровообращение,I25,30_34,жен,1,30-34,7
IX,Кровообращение,I25,30_34,муж,1,30-34,7
IX,Кровообращение,I25,35_39,жен,3,35-39,8
IX,Кровообращение,I25,35_39,муж,11,35-39,8
IX,Кровообращение,I25,40_44,жен,2,40-44,9
IX,Кровообращение,I25,40_44,муж,29,40-44,9
IX,Кровообращение,I25,45_49,жен,12,45-49,10
IX,Кровообращение,I25,45_49,муж,67,45-49,10
IX,Кровообращение,I25,50_54,жен,24,50-54,11
IX,Кровообращение,I25,50_54,муж,90,50-54,11
IX,Кровообращение,I25,55_59,жен,51,55-59,12
IX,Кровообращение,I25,55_59,муж,194,55-59,12
IX,Кровообращение,I25,60_64,жен,126,60-64,13
IX,Кровообращение,I25,60_64,муж,322,60-64,13
IX,Кровообращение,I25,65_69,жен,198,65-69,14
IX,Кровообращение,I25,65_69,муж,444,65-69,14
IX,Кровообращение,I25,70_74,жен,235,70-74,15
IX,Кровообращение,I25,70_74,муж,358,70-74,15
IX,Кровообращение,I25,75_79,жен,329,75-79,16
IX,Кровообращение,I25,75_79,муж,265,75-79,16
IX,Кровообращение,I25,80_plus,жен,1027,80+,17
IX,Кровообращение,I25,80_plus,муж,365,80+,17
IX,Кровообращение,I26,20_24,жен,1,20-24,5
IX,Кровообращение,I26,30_34,муж,1,30-34,7
IX,Кровообращение,I26,45_49,муж,2,45-49,10
IX,Кровообращение,I26,65_69,жен,1,65-69,14
IX,Кровообращение,I26,65_69,муж,1,65-69,14
IX,Кровообращение,I26,70_74,жен,1,70-74,15
IX,Кровообращение,I26,75_79,муж,2,75-79,16
IX,Кровообращение,I26,80_plus,жен,1,80+,17
IX,Кровообращение,I27,50_54,жен,2,50-54,11
IX,Кровообращение,I27,65_69,жен,1,65-69,14
IX,Кровообращение,I28,50_54,муж,1,50-54,11
IX,Кровообращение,I28,60_64,муж,1,60-64,13
IX,Кровообращение,I28,65_69,жен,3,65-69,14
IX,Кровообращение,I28,70_74,муж,1,70-74,15
IX,Кровообращение,I28,80_plus,жен,1,80+,17
IX,Кровообращение,I30,45_49,муж,1,45-49,10
IX,Кровообращение,I30,60_64,муж,2,60-64,13
IX,Кровообращение,I30,65_69,жен,2,65-69,14
IX,Кровообращение,I30,65_69,муж,2,65-69,14
IX,Кровообращение,I30,70_74,муж,1,70-74,15
IX,Кровообращение,I30,75_79,жен,1,75-79,16
IX,Кровообращение,I30,75_79,муж,2,75-79,16
IX,Кровообращение,I30,80_plus,жен,3,80+,17
IX,Кровообращение,I30,80_plus,муж,1,80+,17
IX,Кровообращение,I31,40_44,муж,2,40-44,9
IX,Кровообращение,I31,50_54,жен,1,50-54,11
IX,Кровообращение,I31,55_59,муж,1,55-59,12
IX,Кровообращение,I31,65_69,муж,1,65-69,14
IX,Кровообращение,I31,70_74,муж,2,70-74,15
IX,Кровообращение,I31,75_79,муж,1,75-79,16
IX,Кровообращение,I31,80_plus,жен,1,80+,17
IX,Кровообращение,I33,25_29,жен,4,25-29,6
IX,Кровообращение,I33,25_29,муж,1,25-29,6
IX,Кровообращение,I33,30_34,жен,4,30-34,7
IX,Кровообращение,I33,30_34,муж,4,30-34,7
IX,Кровообращение,I33,35_39,жен,2,35-39,8
IX,Кровообращение,I33,35_39,муж,14,35-39,8
IX,Кровообращение,I33,40_44,жен,3,40-44,9
IX,Кровообращение,I33,40_44,муж,14,40-44,9
IX,Кровообращение,I33,45_49,муж,9,45-49,10
IX,Кровообращение,I33,50_54,муж,5,50-54,11
IX,Кровообращение,I33,55_59,жен,2,55-59,12
IX,Кровообращение,I33,55_59,муж,2,55-59,12
IX,Кровообращение,I33,60_64,жен,1,60-64,13
IX,Кровообращение,I33,60_64,муж,7,60-64,13
IX,Кровообращение,I33,65_69,жен,1,65-69,14
IX,Кровообращение,I33,65_69,муж,3,65-69,14
IX,Кровообращение,I33,70_74,жен,1,70-74,15
IX,Кровообращение,I33,70_74,муж,2,70-74,15
IX,Кровообращение,I33,75_79,жен,1,75-79,16
IX,Кровообращение,I33,75_79,муж,1,75-79,16
IX,Кровообращение,I33,80_plus,жен,1,80+,17
