year,mo_key,mo_id,mo_name,age_band,population,icd_class,deaths,standard_weight,age_specific_rate_per100k,weighted_component
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,VIII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,IX,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,X,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XI,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XIII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XIV,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XV,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XVI,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XVII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XVIII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XIX,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,20_24,415.0,XXII,0,0.05039071573149285,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,I,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,II,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,III,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,IV,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,V,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,VI,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,VIII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,IX,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,X,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XI,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XIII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XIV,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XV,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XVI,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XVII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XVIII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XIX,3,0.05455710588313369,702.576112412178,38.33051935583163
2016,александровск-сахалинский,368,Александровск-Сахалинский,25_29,427.0,XXII,0,0.05455710588313369,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,I,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,II,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,III,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,IV,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,V,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,VI,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,VIII,0,0.08738842618707901,0.0,0.0
2016,александровск-сахалинский,368,Александровск-Сахалинский,30_34,650.0,IX,1,0.08738842618707901,153.84615384615384,13.444373259550616
