year,mo_key,mo_id,mo_name,icd_class,deaths,population,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_population,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class_year,asmr_rank_within_class_year,rank_shift_to_higher_risk
2016,корсаковский,362,Корсаковский,XVIII,24,40798.0,60.84725083571659,58.826413059463704,Симптомы и неточные причины,ok,176,482192.0,36.49998340909845,1.667048725850901,4.0,4.0,0.0
2016,корсаковский,362,Корсаковский,XXII,0,40798.0,0.0,0.0,Специальные коды,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,курильский,357,Курильский,I,0,6874.0,0.0,0.0,Инфекционные болезни,very_low_count,71,482192.0,14.724425125261307,0.0,15.0,15.0,0.0
2016,курильский,357,Курильский,II,6,6874.0,244.24435184186046,87.28542333430318,Новообразования,low_count,1143,482192.0,237.04250588977004,1.0303820866433104,17.0,11.0,6.0
2016,курильский,357,Курильский,III,0,6874.0,0.0,0.0,Кровь и иммунитет,very_low_count,2,482192.0,0.4147725387397551,0.0,3.0,3.0,0.0
2016,курильский,357,Курильский,IV,1,6874.0,16.256172834116015,14.547570555717195,Эндокринные и обмен,very_low_count,85,482192.0,17.627832896439593,0.9221878224974199,11.0,11.0,0.0
2016,курильский,357,Курильский,IX,20,6874.0,489.29677500809754,290.9514111143439,Кровообращение,ok,2861,482192.0,593.3321166672197,0.8246591769825395,17.0,14.0,3.0
2016,курильский,357,Курильский,V,1,6874.0,48.45552158655653,14.547570555717195,Психические расстройства,very_low_count,15,482192.0,3.1107940405481633,15.576576576576578,3.0,2.0,1.0
2016,курильский,357,Курильский,VI,1,6874.0,27.73013654311975,14.547570555717195,Нервная система,very_low_count,64,482192.0,13.272721239672164,2.0892578125,7.0,4.0,3.0
2016,курильский,357,Курильский,VIII,0,6874.0,0.0,0.0,Ухо,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,курильский,357,Курильский,X,0,6874.0,0.0,0.0,Дыхание,very_low_count,447,482192.0,92.70166240833527,0.0,16.0,16.0,0.0
2016,курильский,357,Курильский,XI,4,6874.0,58.251169660539304,58.19028222286878,Пищеварение,very_low_count,577,482192.0,119.66187742641935,0.4867980589420237,15.0,17.0,-2.0
2016,курильский,357,Курильский,XII,0,6874.0,0.0,0.0,Кожа,very_low_count,7,482192.0,1.4517038855891429,0.0,5.0,5.0,0.0
