icd_class,icd_class_short,icd3,deaths,mean_age,median_age,male_deaths,working_age_deaths,top_description,class_deaths,share_within_class,male_share,working_age_share,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024,deaths_2025,rank_within_class
II,Новообразования,C16,1083,67.61034164358264,68.0,679,391,"Злокачественное новообразование желудка, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.09539328811767815,0.6269621421975993,0.3610341643582641,115.0,123.0,116.0,126.0,88.0,102.0,102.0,111.0,106.0,94.0,2
II,Новообразования,C18,816,70.34191176470588,71.0,346,205,Злокачественное новообразование сигмовидной кишки,11353,0.07187527525764115,0.42401960784313725,0.2512254901960784,77.0,74.0,68.0,82.0,95.0,78.0,78.0,97.0,75.0,92.0,3
II,Новообразования,C25,775,67.07354838709678,67.0,363,298,Злокачественное новообразование головки поджелудочной железы,11353,0.06826389500572536,0.46838709677419355,0.38451612903225807,82.0,66.0,70.0,92.0,79.0,79.0,76.0,80.0,80.0,71.0,4
II,Новообразования,C50,675,65.4074074074074,66.0,7,306,"Злокачественное новообразование молочной железы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.05945565048885757,0.01037037037037037,0.4533333333333333,71.0,71.0,57.0,67.0,73.0,66.0,70.0,66.0,60.0,74.0,5
II,Новообразования,C22,552,65.35326086956522,66.0,375,254,Печеночноклеточный рак,11353,0.04862150973311019,0.6793478260869565,0.4601449275362319,63.0,62.0,54.0,64.0,44.0,52.0,46.0,57.0,63.0,47.0,6
II,Новообразования,C61,388,71.97680412371135,72.0,388,71,Злокачественное новообразование предстательной железы,11353,0.03417598872544702,1.0,0.18298969072164947,36.0,40.0,39.0,31.0,43.0,39.0,30.0,38.0,49.0,43.0,7
II,Новообразования,C15,374,64.70855614973262,65.0,285,178,"Злокачественное новообразование пищевода, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.03294283449308553,0.7620320855614974,0.47593582887700536,44.0,49.0,40.0,44.0,47.0,32.0,28.0,30.0,37.0,23.0,8
II,Новообразования,C20,327,68.29969418960245,69.0,171,109,Злокачественное новообразование прямой кишки,11353,0.028802959570157667,0.5229357798165137,0.3333333333333333,20.0,25.0,25.0,34.0,35.0,33.0,39.0,42.0,40.0,34.0,9
II,Новообразования,C64,323,66.15170278637771,66.0,223,142,"Злокачественное новообразование почки, кроме почечной лоханки",11353,0.028450629789482956,0.6904024767801857,0.43962848297213625,29.0,42.0,25.0,40.0,29.0,40.0,26.0,28.0,34.0,30.0,10
II,Новообразования,C56,311,66.45659163987138,67.0,0,112,Злокачественное новообразование яичника,11353,0.02739364044745882,0.0,0.36012861736334406,24.0,33.0,37.0,29.0,32.0,31.0,27.0,38.0,34.0,26.0,11
II,Новообразования,C53,282,57.06028368794326,57.0,0,185,"Злокачественное новообразование шейки матки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.02483924953756716,0.0,0.6560283687943262,24.0,28.0,23.0,21.0,32.0,25.0,23.0,31.0,36.0,39.0,12
II,Новообразования,C67,262,69.95419847328245,70.0,193,78,"Злокачественное новообразование мочевого пузыря, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.023077600634193604,0.7366412213740458,0.29770992366412213,37.0,25.0,27.0,32.0,22.0,14.0,31.0,10.0,36.0,28.0,13
II,Новообразования,C54,221,67.35746606334841,68.0,1,88,"Злокачественное новообразование тела матки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.019466220382277813,0.004524886877828055,0.39819004524886875,21.0,21.0,15.0,25.0,23.0,23.0,31.0,20.0,22.0,20.0,14
II,Новообразования,C71,220,60.86818181818182,64.0,114,110,"Злокачественное новообразование головного мозга, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.019378137937109133,0.5181818181818182,0.5,17.0,23.0,22.0,21.0,25.0,14.0,19.0,32.0,20.0,27.0,15
II,Новообразования,C32,200,63.025,64.0,185,110,"Злокачественное новообразование гортани, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.017616489033735576,0.925,0.55,29.0,22.0,18.0,19.0,29.0,14.0,17.0,20.0,17.0,15.0,16
II,Новообразования,C43,150,65.28666666666666,66.5,62,63,Злокачественная меланома туловища,11353,0.013212366775301682,0.41333333333333333,0.42,15.0,11.0,15.0,8.0,15.0,14.0,16.0,22.0,18.0,16.0,17
II,Новообразования,C19,120,70.15,69.0,54,28,Злокачественное новообразование ректосигмоидного соединения,11353,0.010569893420241346,0.45,0.23333333333333334,5.0,10.0,14.0,14.0,17.0,14.0,11.0,8.0,15.0,12.0,18
II,Новообразования,C97,110,69.86363636363636,71.0,59,26,Злокачественное новообразование самостоятельных (первичных) множественных локализаций,11353,0.009689068968554567,0.5363636363636364,0.23636363636363636,6.0,15.0,25.0,19.0,29.0,11.0,2.0,2.0,0.0,1.0,19
II,Новообразования,C10,106,62.405660377358494,63.0,81,63,"Злокачественное новообразование ротоглотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.009336739187879856,0.7641509433962265,0.5943396226415094,11.0,15.0,11.0,13.0,8.0,12.0,10.0,10.0,8.0,8.0,20
II,Новообразования,C92,87,65.64367816091954,68.0,52,32,Острый миелобластный лейкоз [ОМЛ],11353,0.007663172729674976,0.5977011494252874,0.367816091954023,5.0,13.0,6.0,10.0,3.0,6.0,8.0,8.0,13.0,15.0,21
II,Новообразования,C90,86,68.03488372093024,69.5,37,30,Множественная миелома,11353,0.0075750902845062975,0.43023255813953487,0.3488372093023256,11.0,5.0,8.0,6.0,10.0,11.0,9.0,8.0,8.0,10.0,22
II,Новообразования,C91,76,63.96052631578947,69.0,52,24,В-клеточный хронический лимфоцитарный лейкоз,11353,0.006694265832819519,0.6842105263157895,0.3157894736842105,3.0,14.0,5.0,6.0,9.0,9.0,5.0,10.0,11.0,4.0,23
II,Новообразования,C83,75,62.49333333333333,64.0,44,38,Диффузная В-крупноклеточная лимфома,11353,0.006606183387650841,0.5866666666666667,0.5066666666666667,9.0,6.0,9.0,7.0,8.0,9.0,3.0,3.0,9.0,12.0,24
II,Новообразования,C13,73,61.21917808219178,62.0,64,44,"Злокачественное новообразование нижней части глотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0064300184973134855,0.8767123287671232,0.6027397260273972,5.0,4.0,14.0,8.0,12.0,9.0,5.0,7.0,6.0,3.0,25
II,Новообразования,C24,73,66.05479452054794,67.0,31,29,Злокачественное новообразование внепеченочного желчного протока,11353,0.0064300184973134855,0.4246575342465753,0.3972602739726027,7.0,6.0,4.0,2.0,8.0,9.0,3.0,11.0,11.0,12.0,26
II,Новообразования,C04,68,60.9264705882353,59.0,49,45,"Злокачественное новообразование дна полости рта, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.005989606271470096,0.7205882352941176,0.6617647058823529,9.0,8.0,8.0,6.0,3.0,8.0,7.0,2.0,11.0,6.0,27
II,Новообразования,C02,62,60.67741935483871,61.0,40,36,"Злокачественное новообразование языка, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.005461111600458029,0.6451612903225806,0.5806451612903226,8.0,3.0,9.0,4.0,7.0,7.0,7.0,10.0,3.0,4.0,28
II,Новообразования,C21,52,64.40384615384616,65.5,19,23,"Злокачественное новообразование прямой кишки, заднего прохода [ануса] и анального канала, выходящее за пределы вышеуказанных локализаций",11353,0.00458028714877125,0.36538461538461536,0.4423076923076923,4.0,4.0,15.0,10.0,5.0,2.0,4.0,3.0,4.0,1.0,29
II,Новообразования,C45,52,70.28846153846153,71.0,22,13,Мезотелиома плевры,11353,0.00458028714877125,0.4230769230769231,0.25,6.0,9.0,1.0,2.0,5.0,4.0,5.0,7.0,7.0,6.0,30
II,Новообразования,C49,50,65.24,69.0,31,15,"Злокачественное новообразование соединительной и мягких тканей нижней конечности, включая тазобедренную область",11353,0.004404122258433894,0.62,0.3,2.0,4.0,12.0,5.0,2.0,5.0,2.0,5.0,7.0,6.0,31
II,Новообразования,C44,45,70.17777777777778,69.0,18,14,Другие злокачественные новообразования кожи других и неуточненных частей лица,11353,0.003963710032590505,0.4,0.3111111111111111,6.0,4.0,9.0,4.0,8.0,2.0,3.0,4.0,1.0,4.0,32
II,Новообразования,C17,44,68.13636363636364,70.0,17,14,Злокачественное новообразование двенадцатиперстной кишки,11353,0.003875627587421827,0.38636363636363635,0.3181818181818182,5.0,5.0,1.0,4.0,3.0,5.0,6.0,8.0,4.0,3.0,33
II,Новообразования,C48,37,63.7027027027027,64.0,12,18,Злокачественное новообразование забрюшинного пространства,11353,0.0032590504712410816,0.32432432432432434,0.4864864864864865,8.0,8.0,6.0,4.0,2.0,4.0,0.0,3.0,2.0,0.0,34
II,Новообразования,D43,37,65.16216216216216,68.0,18,15,Новообразование неопределенного или неизвестного характера головного мозга над мозговым наметом,11353,0.0032590504712410816,0.4864864864864865,0.40540540540540543,3.0,5.0,7.0,6.0,1.0,4.0,4.0,3.0,1.0,3.0,35
II,Новообразования,D32,36,71.72222222222223,72.0,5,10,Доброкачественное новообразование оболочек головного мозга,11353,0.003170968026072404,0.1388888888888889,0.2777777777777778,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,7.0,0.0,36
II,Новообразования,C51,32,68.21875,73.5,0,11,"Злокачественное новообразование вульвы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0028186382453976922,0.0,0.34375,0.0,3.0,3.0,9.0,7.0,2.0,2.0,2.0,4.0,0.0,37
II,Новообразования,C85,32,66.46875,68.5,14,14,B-клеточная лимфома неуточненная,11353,0.0028186382453976922,0.4375,0.4375,5.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,38
