year,icd_class,icd_class_short,icd3,deaths
2017,XI,Пищеварение,K92,1
2017,XIX,Травмы и отравления,S01,1
2017,XIX,Травмы и отравления,S02,47
2017,XIX,Травмы и отравления,S06,61
2017,XIX,Травмы и отравления,S07,4
2017,XIX,Травмы и отравления,S12,3
2017,XIX,Травмы и отравления,S14,3
2017,XIX,Травмы и отравления,S15,4
2017,XIX,Травмы и отравления,S20,1
2017,XIX,Травмы и отравления,S21,11
2017,XIX,Травмы и отравления,S22,7
2017,XIX,Травмы и отравления,S25,3
2017,XIX,Травмы и отравления,S26,11
2017,XIX,Травмы и отравления,S27,13
2017,XIX,Травмы и отравления,S29,3
2017,XIX,Травмы и отравления,S31,1
2017,XIX,Травмы и отравления,S32,1
2017,XIX,Травмы и отравления,S35,3
2017,XIX,Травмы и отравления,S36,12
2017,XIX,Травмы и отравления,S39,1
2017,XIX,Травмы и отравления,S42,3
2017,XIX,Травмы и отравления,S51,1
2017,XIX,Травмы и отравления,S55,2
2017,XIX,Травмы и отравления,S71,1
2017,XIX,Травмы и отравления,S72,12
2017,XIX,Травмы и отравления,S75,1
2017,XIX,Травмы и отравления,S81,1
2017,XIX,Травмы и отравления,S82,1
2017,XIX,Травмы и отравления,T01,1
2017,XIX,Травмы и отравления,T02,7
2017,XIX,Травмы и отравления,T06,72
2017,XIX,Травмы и отравления,T17,28
2017,XIX,Травмы и отравления,T18,1
2017,XIX,Травмы и отравления,T21,1
2017,XIX,Травмы и отравления,T27,1
2017,XIX,Травмы и отравления,T29,13
2017,XIX,Травмы и отравления,T31,1
2017,XIX,Травмы и отравления,T34,2
2017,XIX,Травмы и отравления,T37,1
2017,XIX,Травмы и отравления,T38,1
2017,XIX,Травмы и отравления,T40,9
2017,XIX,Травмы и отравления,T42,2
2017,XIX,Травмы и отравления,T43,3
2017,XIX,Травмы и отравления,T46,2
2017,XIX,Травмы и отравления,T50,1
2017,XIX,Травмы и отравления,T51,83
2017,XIX,Травмы и отравления,T54,5
2017,XIX,Травмы и отравления,T57,1
2017,XIX,Травмы и отравления,T58,36
2017,XIX,Травмы и отравления,T59,2
2017,XIX,Травмы и отравления,T62,1
2017,XIX,Травмы и отравления,T65,27
2017,XIX,Травмы и отравления,T68,46
2017,XIX,Травмы и отравления,T69,3
2017,XIX,Травмы и отравления,T70,1
2017,XIX,Травмы и отравления,T71,161
2017,XIX,Травмы и отравления,T75,44
2017,XIX,Травмы и отравления,T78,1
2017,XIX,Травмы и отравления,T79,1
2017,XIX,Травмы и отравления,T80,1
2017,XIX,Травмы и отравления,T81,2
2017,XIX,Травмы и отравления,T82,2
2017,XIX,Травмы и отравления,T85,1
2017,XIX,Травмы и отравления,T86,1
2017,XIX,Травмы и отравления,T90,2
2017,XIX,Травмы и отравления,T91,2
2018,II,Новообразования,C02,9
2018,II,Новообразования,C03,4
2018,II,Новообразования,C04,8
2018,II,Новообразования,C05,2
2018,II,Новообразования,C06,1
2018,II,Новообразования,C07,3
2018,II,Новообразования,C08,1
2018,II,Новообразования,C09,2
2018,II,Новообразования,C10,11
2018,II,Новообразования,C13,14
2018,II,Новообразования,C15,40
2018,II,Новообразования,C16,116
2018,II,Новообразования,C17,1
2018,II,Новообразования,C18,68
2018,II,Новообразования,C19,14
2018,II,Новообразования,C20,25
2018,II,Новообразования,C21,15
2018,II,Новообразования,C22,54
2018,II,Новообразования,C23,3
2018,II,Новообразования,C24,4
2018,II,Новообразования,C25,70
2018,II,Новообразования,C30,2
2018,II,Новообразования,C31,1
2018,II,Новообразования,C32,18
2018,II,Новообразования,C34,283
2018,II,Новообразования,C37,1
2018,II,Новообразования,C38,1
2018,II,Новообразования,C40,1
2018,II,Новообразования,C41,2
2018,II,Новообразования,C43,15
2018,II,Новообразования,C44,9
2018,II,Новообразования,C45,1
2018,II,Новообразования,C48,6
2018,II,Новообразования,C49,12
2018,II,Новообразования,C50,57
2018,II,Новообразования,C51,3
2018,II,Новообразования,C53,23
2018,II,Новообразования,C54,15
2018,II,Новообразования,C56,37
2018,II,Новообразования,C57,3
2018,II,Новообразования,C60,1
2018,II,Новообразования,C61,39
2018,II,Новообразования,C62,4
2018,II,Новообразования,C63,1
2018,II,Новообразования,C64,25
2018,II,Новообразования,C65,2
2018,II,Новообразования,C66,2
2018,II,Новообразования,C67,27
2018,II,Новообразования,C68,1
2018,II,Новообразования,C69,1
2018,II,Новообразования,C71,22
2018,II,Новообразования,C72,1
2018,II,Новообразования,C73,1
2018,II,Новообразования,C74,3
2018,II,Новообразования,C75,1
2018,II,Новообразования,C76,1
2018,II,Новообразования,C77,2
2018,II,Новообразования,C80,3
2018,II,Новообразования,C81,2
2018,II,Новообразования,C82,3
2018,II,Новообразования,C83,9
2018,II,Новообразования,C85,4
2018,II,Новообразования,C88,1
2018,II,Новообразования,C90,8
2018,II,Новообразования,C91,5
2018,II,Новообразования,C92,6
2018,II,Новообразования,C93,2
2018,II,Новообразования,C94,3
2018,II,Новообразования,C97,25
2018,II,Новообразования,D18,1
2018,II,Новообразования,D25,1
2018,II,Новообразования,D32,3
2018,II,Новообразования,D33,2
2018,II,Новообразования,D37,1
2018,II,Новообразования,D38,1
2018,II,Новообразования,D39,1
2018,II,Новообразования,D43,7
2018,II,Новообразования,D44,2
2018,II,Новообразования,D45,3
2018,II,Новообразования,D46,1
2018,II,Новообразования,D47,1
2018,II,Новообразования,D48,1
2018,IV,Эндокринные и обмен,E05,1
2018,IV,Эндокринные и обмен,E10,25
2018,IV,Эндокринные и обмен,E11,203
2018,IV,Эндокринные и обмен,E51,2
2018,IV,Эндокринные и обмен,E66,5
2018,IX,Кровообращение,I05,1
2018,IX,Кровообращение,I08,1
2018,IX,Кровообращение,I11,11
2018,IX,Кровообращение,I12,1
2018,IX,Кровообращение,I13,2
2018,IX,Кровообращение,I21,201
2018,IX,Кровообращение,I22,80
2018,IX,Кровообращение,I24,1
2018,IX,Кровообращение,I25,431
2018,IX,Кровообращение,I26,1
2018,IX,Кровообращение,I30,3
2018,IX,Кровообращение,I31,1
2018,IX,Кровообращение,I33,10
2018,IX,Кровообращение,I34,13
2018,IX,Кровообращение,I35,48
2018,IX,Кровообращение,I40,4
2018,IX,Кровообращение,I42,69
2018,IX,Кровообращение,I44,1
2018,IX,Кровообращение,I46,95
2018,IX,Кровообращение,I49,1
2018,IX,Кровообращение,I51,14
2018,IX,Кровообращение,I60,30
2018,IX,Кровообращение,I61,150
2018,IX,Кровообращение,I62,5
2018,IX,Кровообращение,I63,275
2018,IX,Кровообращение,I67,9
2018,IX,Кровообращение,I69,114
2018,IX,Кровообращение,I70,81
2018,IX,Кровообращение,I71,48
2018,IX,Кровообращение,I74,6
2018,IX,Кровообращение,I80,109
2018,IX,Кровообращение,I82,6
2018,IX,Кровообращение,I83,5
2018,X,Дыхание,J15,3
2018,X,Дыхание,J18,108
2018,X,Дыхание,J38,1
2018,X,Дыхание,J43,1
2018,X,Дыхание,J44,125
2018,X,Дыхание,J45,2
2018,X,Дыхание,J47,1
2018,X,Дыхание,J69,1
2018,X,Дыхание,J84,5
2018,X,Дыхание,J85,21
2018,X,Дыхание,J86,2
2018,X,Дыхание,J93,1
2018,XI,Пищеварение,K11,1
2018,XI,Пищеварение,K12,1
2018,XI,Пищеварение,K20,1
2018,XI,Пищеварение,K21,1
2018,XI,Пищеварение,K22,11
2018,XI,Пищеварение,K25,34
2018,XI,Пищеварение,K26,20
2018,XI,Пищеварение,K29,4
2018,XI,Пищеварение,K35,1
2018,XI,Пищеварение,K40,2
2018,XI,Пищеварение,K42,1
2018,XI,Пищеварение,K43,8
2018,XI,Пищеварение,K44,1
2018,XI,Пищеварение,K50,3
2018,XI,Пищеварение,K51,5
2018,XI,Пищеварение,K55,98
2018,XI,Пищеварение,K56,16
2018,XI,Пищеварение,K57,5
2018,XI,Пищеварение,K61,1
2018,XI,Пищеварение,K63,4
