year,municipality,icd_class,deaths
2024,Константиновский,XIX,1
2024,Константиновский,XVII,1
2024,Константиновский,XVIII,2
2024,Константиновский,XX,34
2024,Магдагачинский,I,4
2024,Магдагачинский,II,40
2024,Магдагачинский,IV,13
2024,Магдагачинский,IX,112
2024,Магдагачинский,VI,7
2024,Магдагачинский,X,11
2024,Магдагачинский,XI,12
2024,Магдагачинский,XIII,18
2024,Магдагачинский,XVIII,8
2024,Магдагачинский,XX,42
2024,Мазановский,II,22
2024,Мазановский,IV,4
2024,Мазановский,IX,50
2024,Мазановский,X,6
2024,Мазановский,XI,14
2024,Мазановский,XX,14
2024,Михайловский,I,1
2024,Михайловский,II,28
2024,Михайловский,IV,8
2024,Михайловский,IX,62
2024,Михайловский,VI,4
2024,Михайловский,X,3
2024,Михайловский,XI,2
2024,Михайловский,XIII,7
2024,Михайловский,XIV,3
2024,Михайловский,XIX,1
2024,Михайловский,XVII,2
2024,Михайловский,XVIII,8
2024,Михайловский,XX,26
2024,Октябрьский,I,9
2024,Октябрьский,II,30
2024,Октябрьский,IV,6
2024,Октябрьский,IX,66
2024,Октябрьский,X,4
2024,Октябрьский,XI,8
2024,Октябрьский,XIII,1
2024,Октябрьский,XIV,1
2024,Октябрьский,XVIII,3
2024,Октябрьский,XX,83
2024,Посёлок Углегорск,II,5
2024,Посёлок Углегорск,IX,18
2024,Посёлок Углегорск,XVIII,1
2024,Посёлок Углегорск,XX,7
2024,Рабочий посёлок Прогресс,II,18
2024,Рабочий посёлок Прогресс,IV,11
2024,Рабочий посёлок Прогресс,IX,71
2024,Рабочий посёлок Прогресс,VI,21
2024,Рабочий посёлок Прогресс,X,6
2024,Рабочий посёлок Прогресс,XI,16
2024,Рабочий посёлок Прогресс,XIII,2
2024,Рабочий посёлок Прогресс,XVIII,6
2024,Рабочий посёлок Прогресс,XX,26
2024,Райчихинск,I,5
2024,Райчихинск,II,38
2024,Райчихинск,IV,43
2024,Райчихинск,IX,216
2024,Райчихинск,V,2
2024,Райчихинск,VI,16
2024,Райчихинск,X,5
2024,Райчихинск,XI,31
2024,Райчихинск,XII,1
2024,Райчихинск,XIII,44
2024,Райчихинск,XIV,2
2024,Райчихинск,XVIII,4
2024,Райчихинск,XX,43
2024,Ромненский,II,10
2024,Ромненский,IV,5
2024,Ромненский,IX,51
2024,Ромненский,X,9
2024,Ромненский,XI,3
2024,Ромненский,XII,1
2024,Ромненский,XX,23
2024,Свободненский,I,13
2024,Свободненский,II,18
2024,Свободненский,IX,65
2024,Свободненский,VI,2
2024,Свободненский,X,1
2024,Свободненский,XI,6
2024,Свободненский,XIII,2
2024,Свободненский,XVIII,3
2024,Свободненский,XX,54
2024,Свободный,I,5
2024,Свободный,II,108
2024,Свободный,IV,34
2024,Свободный,IX,450
2024,Свободный,VI,44
2024,Свободный,X,19
2024,Свободный,XI,86
2024,Свободный,XIII,2
2024,Свободный,XIV,3
2024,Свободный,XVII,2
2024,Свободный,XVIII,12
2024,Свободный,XX,86
2024,Селемджинский,I,1
2024,Селемджинский,II,11
2024,Селемджинский,IV,3
2024,Селемджинский,IX,61
2024,Селемджинский,VI,2
2024,Селемджинский,X,3
2024,Селемджинский,XI,10
2024,Селемджинский,XIII,1
2024,Селемджинский,XX,16
2024,Серышевский,I,1
2024,Серышевский,II,37
2024,Серышевский,IV,8
2024,Серышевский,IX,84
2024,Серышевский,V,1
2024,Серышевский,VI,3
2024,Серышевский,X,11
2024,Серышевский,XI,10
2024,Серышевский,XIV,3
2024,Серышевский,XIX,1
2024,Серышевский,XVII,1
2024,Серышевский,XVIII,3
2024,Серышевский,XX,75
2024,Сковородинский,I,2
2024,Сковородинский,II,39
2024,Сковородинский,IV,7
2024,Сковородинский,IX,152
2024,Сковородинский,VI,3
2024,Сковородинский,X,11
2024,Сковородинский,XI,27
2024,Сковородинский,XIV,1
2024,Сковородинский,XIX,1
2024,Сковородинский,XVI,1
2024,Сковородинский,XVII,1
2024,Сковородинский,XVIII,4
2024,Сковородинский,XX,67
2024,Тамбовский,I,3
2024,Тамбовский,II,43
2024,Тамбовский,IV,6
2024,Тамбовский,IX,116
2024,Тамбовский,VI,9
2024,Тамбовский,X,11
2024,Тамбовский,XI,16
2024,Тамбовский,XIII,6
2024,Тамбовский,XIV,7
2024,Тамбовский,XVIII,3
2024,Тамбовский,XX,45
2024,Тында,I,2
2024,Тында,II,65
2024,Тында,IV,19
2024,Тында,IX,176
2024,Тында,V,1
2024,Тында,VI,11
2024,Тында,X,4
2024,Тында,XI,42
2024,Тында,XIII,3
2024,Тында,XIV,1
2024,Тында,XVIII,18
2024,Тында,XX,53
2024,Тындинский,I,1
2024,Тындинский,II,10
2024,Тындинский,IV,1
2024,Тындинский,IX,56
2024,Тындинский,VI,1
2024,Тындинский,X,4
2024,Тындинский,XI,12
2024,Тындинский,XIII,1
2024,Тындинский,XIV,1
2024,Тындинский,XVIII,4
2024,Тындинский,XX,24
2024,Шимановск,I,2
2024,Шимановск,II,29
2024,Шимановск,IV,16
2024,Шимановск,IX,99
2024,Шимановск,V,2
2024,Шимановск,VI,19
2024,Шимановск,X,2
2024,Шимановск,XI,31
2024,Шимановск,XIII,28
2024,Шимановск,XIV,3
2024,Шимановск,XVIII,4
2024,Шимановск,XX,24
2024,Шимановский,II,5
2024,Шимановский,IV,4
2024,Шимановский,IX,19
2024,Шимановский,V,2
2024,Шимановский,VI,10
2024,Шимановский,X,1
2024,Шимановский,XI,7
2024,Шимановский,XIII,8
2024,Шимановский,XX,13
2025,Архаринский,I,1
2025,Архаринский,II,29
2025,Архаринский,III,1
2025,Архаринский,IV,9
2025,Архаринский,IX,83
2025,Архаринский,VI,2
2025,Архаринский,X,7
2025,Архаринский,XI,14
2025,Архаринский,XIII,13
2025,Архаринский,XIV,2
2025,Архаринский,XIX,1
