year,municipality,icd_class,deaths
2025,Рабочий посёлок Прогресс,II,25
2025,Рабочий посёлок Прогресс,IV,6
2025,Рабочий посёлок Прогресс,IX,71
2025,Рабочий посёлок Прогресс,VI,31
2025,Рабочий посёлок Прогресс,X,2
2025,Рабочий посёлок Прогресс,XI,15
2025,Рабочий посёлок Прогресс,XIII,3
2025,Рабочий посёлок Прогресс,XVIII,4
2025,Рабочий посёлок Прогресс,XX,40
2025,Райчихинск,I,3
2025,Райчихинск,II,35
2025,Райчихинск,IV,35
2025,Райчихинск,IX,235
2025,Райчихинск,VI,10
2025,Райчихинск,X,6
2025,Райчихинск,XI,36
2025,Райчихинск,XII,1
2025,Райчихинск,XIII,49
2025,Райчихинск,XIV,1
2025,Райчихинск,XIX,1
2025,Райчихинск,XVIII,8
2025,Райчихинск,XX,58
2025,Ромненский,II,10
2025,Ромненский,IV,1
2025,Ромненский,IX,57
2025,Ромненский,VI,2
2025,Ромненский,X,1
2025,Ромненский,XI,4
2025,Ромненский,XIII,1
2025,Ромненский,XVII,2
2025,Ромненский,XVIII,4
2025,Ромненский,XX,37
2025,Свободненский,I,9
2025,Свободненский,II,13
2025,Свободненский,IV,1
2025,Свободненский,IX,73
2025,Свободненский,X,4
2025,Свободненский,XI,6
2025,Свободненский,XIII,2
2025,Свободненский,XVIII,6
2025,Свободненский,XX,33
2025,Свободный,I,6
2025,Свободный,II,137
2025,Свободный,IV,30
2025,Свободный,IX,415
2025,Свободный,VI,3
2025,Свободный,X,18
2025,Свободный,XI,73
2025,Свободный,XIII,12
2025,Свободный,XIV,4
2025,Свободный,XVII,4
2025,Свободный,XVIII,17
2025,Свободный,XX,108
2025,Селемджинский,I,1
2025,Селемджинский,II,9
2025,Селемджинский,IV,1
2025,Селемджинский,IX,47
2025,Селемджинский,VI,6
2025,Селемджинский,X,1
2025,Селемджинский,XI,11
2025,Селемджинский,XIII,1
2025,Селемджинский,XVIII,5
2025,Селемджинский,XX,19
2025,Серышевский,I,1
2025,Серышевский,II,31
2025,Серышевский,IV,3
2025,Серышевский,IX,103
2025,Серышевский,VI,5
2025,Серышевский,X,6
2025,Серышевский,XI,9
2025,Серышевский,XIII,3
2025,Серышевский,XIV,1
2025,Серышевский,XVIII,4
2025,Серышевский,XX,120
2025,Сковородинский,II,34
2025,Сковородинский,IV,9
2025,Сковородинский,IX,154
2025,Сковородинский,VI,4
2025,Сковородинский,X,10
2025,Сковородинский,XI,36
2025,Сковородинский,XIII,4
2025,Сковородинский,XVII,1
2025,Сковородинский,XVIII,2
2025,Сковородинский,XX,69
2025,Тамбовский,II,44
2025,Тамбовский,IV,10
2025,Тамбовский,IX,110
2025,Тамбовский,VI,4
2025,Тамбовский,X,11
2025,Тамбовский,XI,22
2025,Тамбовский,XIII,15
2025,Тамбовский,XIV,3
2025,Тамбовский,XVIII,6
2025,Тамбовский,XX,60
2025,Тында,I,7
2025,Тында,II,57
2025,Тында,III,1
2025,Тында,IV,27
2025,Тында,IX,158
2025,Тында,VI,7
2025,Тында,X,7
2025,Тында,XI,34
2025,Тында,XIII,5
2025,Тында,XIV,4
2025,Тында,XVII,1
2025,Тында,XVIII,9
2025,Тында,XX,76
2025,Тындинский,II,12
2025,Тындинский,IX,64
2025,Тындинский,X,4
2025,Тындинский,XI,8
2025,Тындинский,XVIII,6
2025,Тындинский,XX,55
2025,Шимановск,I,2
2025,Шимановск,II,31
2025,Шимановск,III,1
2025,Шимановск,IV,18
2025,Шимановск,IX,73
2025,Шимановск,V,1
2025,Шимановск,VI,11
2025,Шимановск,X,3
2025,Шимановск,XI,28
2025,Шимановск,XIII,29
2025,Шимановск,XIV,8
2025,Шимановск,XVII,1
2025,Шимановск,XVIII,4
2025,Шимановск,XX,28
2025,Шимановский,II,6
2025,Шимановский,IX,16
2025,Шимановский,VI,5
2025,Шимановский,XI,2
2025,Шимановский,XII,1
2025,Шимановский,XIII,7
2025,Шимановский,XIV,4
