Позиция,Код,Расшифровка,Семейство,Смертей
Причина г,D35.0,МКБ-код без расшифровки в справочнике отчета,Другие коды D,1
Причина г,K80.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,G31.1,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1
Причина г,I25.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина г,I11.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина г,N14.4,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина г,C32.0,МКБ-код без расшифровки в справочнике отчета,Другие коды C,1
Причина г,B18.2,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,K22.6,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,E11.7,МКБ-код без расшифровки в справочнике отчета,Другие коды E,1
Причина г,N20.0,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина г,K73.8,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,K86.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,B23.1,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,K70.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,F10.0,Алкогольная интоксикация,Алкогольные психические/поведенческие расстройства (F10),1
Причина г,I44.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина г,B20.7,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,N21.0,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина г,K29.4,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,G40.9,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1
Причина г,B20.9,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,B23.2,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,K71.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,K85.2,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина г,Y19.9,МКБ-код без расшифровки в справочнике отчета,Другие коды Y,1
Причина г,X45.6,МКБ-код без расшифровки в справочнике отчета,Другие коды X,1
Причина г,I25.5,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина г,B20.4,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1
Причина г,X45,МКБ-код без расшифровки в справочнике отчета,Другие коды X,1
Прочие состояния,J18.2,Гипостатическая пневмония,Пневмонии (J18),39
Прочие состояния,J18.1,Долевая пневмония,Пневмонии (J18),12
Прочие состояния,G93.6,Отек мозга,Отек мозга (G93.6),10
Прочие состояния,G91.1,МКБ-код без расшифровки в справочнике отчета,Другие коды G,5
Прочие состояния,I48.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),4
Прочие состояния,R40.2,Кома неуточненная,Симптомы и неточные причины (R),2
Прочие состояния,N26,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Прочие состояния,L89.3,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1
Прочие состояния,N10,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Прочие состояния,L89.2,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1
